nome,categoria,porcao_g,kcal,prot_g,carb_g,gord_g,contexto_culinario,incompativel_com,velocidade_absorcao,preco
"Alecrim, seco, Rosmarinus officinalis, ",Outros Carboidratos,100.0,328,4.9,64.1,15.2,Café|Lanche,Almoço|Jantar|Lixo,Lenta,$$
"Alface, americana, crua, <i>Lactuca sativa</i> L., ",Outros Carboidratos,100.0,6,0.4,1.5,0.1,Café|Lanche,Almoço|Jantar|Lixo,Média,$$
"Alface, crespa, crua, <i>Lactuca sativa</i> L., ",Outros Carboidratos,100.0,10,1.4,1.7,0.2,Café|Lanche,Almoço|Jantar|Lixo,Média,$$
"Alface, crua, <i>Lactuca sativa</i> L., ",Outros Carboidratos,100.0,9,1.1,1.8,0.1,Café|Lanche,Almoço|Jantar|Lixo,Média,$$
"Alface, lisa, crua, <i>Lactuca sativa</i> L., ",Outros Carboidratos,100.0,13,1.7,2.4,0.1,Café|Lanche,Almoço|Jantar|Lixo,Média,$$
"Alface, roxa, crua, <i>Lactuca sativa</i> L., ",Outros Carboidratos,100.0,11,0.9,2.5,0.2,Café|Lanche,Almoço|Jantar|Lixo,Média,$$
"Alfavaca, crua, <i>Ocimum basilicum</i> L., ",Outros Carboidratos,100.0,28,2.7,5.2,0.5,Café|Lanche,Almoço|Jantar|Lixo,Média,$$
"Alga, ágar ágar, em pó, ",Outros Carboidratos,100.0,336,6.2,80.9,0.3,Café|Lanche,Almoço|Jantar|Lixo,Rápida,$$
"Alho, cozido, s/ óleo, s/ sal, ",Outros Carboidratos,100.0,121,5.7,25.8,0.2,Almoço|Jantar,Café|Lanche|Lixo,Rápida,$$
"Alho, cru, <i>Allium sativum</i> L., ",Outros Carboidratos,100.0,121,5.7,25.8,0.2,Café|Lanche,Almoço|Jantar|Lixo,Rápida,$$
"Alho, em pó, <i>Allium sativum</i> L., ",Outros Carboidratos,100.0,346,16.6,72.7,0.7,Café|Lanche,Almoço|Jantar|Lixo,Lenta,$$
"Alho, refogado (c/ óleo de soja), s/ sal, ",Outros Carboidratos,100.0,433,8.1,36.6,29.3,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Alho-poró, cozido, drenado, s/ óleo, s/ sal, <i>Allium ampeloprasum</i> L. var. porrum, ",Outros Carboidratos,100.0,34,0.8,7.6,0.2,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Alho-poró, cru, <i>Allium ampeloprasum</i> L. var. porrum, ",Outros Carboidratos,100.0,29,1.4,6.9,0.1,Café|Lanche,Almoço|Jantar|Lixo,Média,$$
"Almôndega de soja, assada, c/ molho de tomate, c/ sal, (proteína texturarizada de soja (hidratada com caldo de legumes), farinha de rosca, farinha de trigo, ovo, salsinha e cebolinha, pimenta-do-reino, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal), ",Ovos,100.0,155,16.5,19.5,2.1,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$
"Almôndega de soja, assada, c/ sal, (proteína texturarizada de soja (hidratada com caldo de legumes), farinha de rosca, farinha de trigo, ovo, cheiro verde, cebola e alho, pimenta-do-reino, c/ sal), ",Ovos,100.0,189,22.8,25.0,0.8,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$
"Almôndega de soja, assada, s/ sal, (proteína texturarizada de soja (hidratada com caldo de legumes), farinha de rosca, farinha de trigo, ovo, cheiro verde, cebola e alho, pimenta-do-reino, s/ sal), ",Ovos,100.0,189,22.8,25.0,0.8,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$
"Almôndega, ao sugo (molho de tomate), (carne, boi, frita, c/ molho de tomate (tomate, c/ óleo, cebola e alho, c/ sal), ",Carne Vermelha,100.0,194,11.6,11.3,11.6,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$$
"Almôndega, carne, ave, industrializada, crua, c/ sal, ",Carne Vermelha,100.0,202,12.8,7.1,13.6,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$$
"Almôndega, carne, boi, crua, c/ sal, Sadia, ",Carne Vermelha,100.0,168,13.5,11.7,7.4,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$$
"Almôndega, carne, boi, industrializada, crua, c/ sal, ",Carne Vermelha,100.0,178,12.9,10.7,9.3,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$$
"Almôndega, carne, boi, industrializada, frita, c/ sal, ",Carne Vermelha,100.0,272,18.2,14.3,15.8,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$$
"Almôndega, carne, frango, crua, c/ sal, Sadia, ",Carne Vermelha,100.0,202,12.8,7.1,13.6,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$$
"Almeirão, cozido, drenado, s/ óleo, c/ sal, ",Outros Carboidratos,100.0,19,1.8,3.9,0.3,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Almeirão, cozido, drenado, s/ óleo, s/ sal, ",Outros Carboidratos,100.0,21,1.8,4.2,0.3,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Almeirão, cru, Cichorium intybus, ",Outros Carboidratos,100.0,20,1.8,4.1,0.3,Café|Lanche,Almoço|Jantar|Lixo,Média,$$
"Almeirão, refogado (c/ óleo, cebola e alho), c/ sal, ",Outros Carboidratos,100.0,86,1.7,6.2,7.2,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Almeirão, refogado (c/ óleo, cebola e alho), s/ sal, Cichorium intybus, ",Outros Carboidratos,100.0,86,1.7,6.2,7.2,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$
"Amêndoa, crua, s/ sal, <i>Prunua amygdalus</i> L., ",Outros Carboidratos,100.0,632,21.1,21.5,49.9,Café|Lanche,Almoço|Jantar|Lixo,Lenta,$$$$
"Amêndoa, torrada, c/ sal, <i>Arábic amygdalu</i> var. Dulcis, ",Outros Carboidratos,100.0,616,20.6,21.8,52.0,Café|Lanche,Almoço|Jantar|Lixo,Lenta,$$$$
"Amêndoa, torrada, caramelizada, ",Outros Carboidratos,100.0,560,15.5,40.9,39.0,Café|Lanche,Almoço|Jantar|Lixo,Lenta,$$$$
"Amaranto, grão, cozido, s/ óleo, s/ sal, <i>Amaranthus cruentus</i> L., ",Outros Carboidratos,100.0,100,3.8,18.7,1.6,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Amaranto, grão, cru, <i>Amaranthus cruentus</i> L., ",Outros Carboidratos,100.0,365,13.6,65.3,7.0,Café|Lanche,Almoço|Jantar|Lixo,Lenta,$$
"Ameixa, c/ casca, <i>in natura</i>, Prunus domestica, ",Outros Carboidratos,100.0,54,0.8,13.8,0.0,Café|Lanche,Almoço|Jantar|Lixo,Média,$$
"Ameixa, em calda, enlatada, drenada, ",Outros Carboidratos,100.0,188,0.4,46.9,0.0,Café|Lanche,Almoço|Jantar|Lixo,Rápida,$$
"Ameixa, seca, ",Outros Carboidratos,100.0,253,2.2,63.9,0.4,Café|Lanche,Almoço|Jantar|Lixo,Rápida,$$
"Amendoim, caramelizado, ",Outros Carboidratos,100.0,568,20.7,37.2,38.9,Café|Lanche,Almoço|Jantar|Lixo,Lenta,$$
"Amendoim, grão, cru, <i>Arachis hypogaea</i> L., ",Outros Carboidratos,100.0,589,25.4,20.7,46.3,Café|Lanche,Almoço|Jantar|Lixo,Lenta,$$
"Amendoim, torrado, c/ sal, <i>Arachis hypogaea</i> L., ",Outros Carboidratos,100.0,626,27.5,16.9,51.8,Café|Lanche,Almoço|Jantar|Lixo,Lenta,$$
"Amora preta, <i>in natura</i>, Rubus ssp., ",Outros Carboidratos,100.0,36,1.4,6.7,0.5,Café|Lanche,Almoço|Jantar|Lixo,Média,$$
"Angu a baiana, polenta, c/ molho de carne bovina, c/ sal, polenta, c/ molho de carne bovina (acém, coração, língua, rabada, bucho), c/ molho de tomate (tomate, c/ óleo, cebola e alho), pimentão, c/ óleo, cebola e alho, c/ pimenta-do-reino, c/ sal, ",Carne Vermelha,100.0,146,8.1,13.7,6.9,Almoço|Jantar,Café|Lanche|Lixo,Lenta,$$$
